id,list_type,list_key,option_order,option_value,option_label,option_label_es
3081,state_county,WI,3081,Racine,Racine,Racine
2960,state_county,WA,2960,Pend Oreille,Pend Oreille,Pend Oreille
2961,state_county,WA,2961,Pierce,Pierce,Pierce
2962,state_county,WA,2962,San Juan,San Juan,San Juan
2964,state_county,WA,2964,Skagit,Skagit,Skagit
2965,state_county,WA,2965,Skamania,Skamania,Skamania
2966,state_county,WA,2966,Snohomish,Snohomish,Snohomish
2968,state_county,WA,2968,Spokane,Spokane,Spokane
2970,state_county,WA,2970,Stevens,Stevens,Stevens
2972,state_county,WA,2972,Thurston,Thurston,Thurston
2973,state_county,WA,2973,Wahkiakum,Wahkiakum,Wahkiakum
2974,state_county,WA,2974,Walla Walla,Walla Walla,Walla Walla
2975,state_county,WA,2975,Whatcom,Whatcom,Whatcom
2976,state_county,WA,2976,Whitman,Whitman,Whitman
2977,state_county,WA,2977,Yakima,Yakima,Yakima
2978,state_county,WV,2978,Barbour,Barbour,Barbour
2979,state_county,WV,2979,Berkeley,Berkeley,Berkeley
2980,state_county,WV,2980,Boone,Boone,Boone
2981,state_county,WV,2981,Braxton,Braxton,Braxton
2982,state_county,WV,2982,Brooke,Brooke,Brooke
2983,state_county,WV,2983,Cabell,Cabell,Cabell
2984,state_county,WV,2984,Calhoun,Calhoun,Calhoun
2985,state_county,WV,2985,Clay,Clay,Clay
2986,state_county,WV,2986,Doddridge,Doddridge,Doddridge
2987,state_county,WV,2987,Fayette,Fayette,Fayette
2988,state_county,WV,2988,Gilmer,Gilmer,Gilmer
2989,state_county,WV,2989,Grant,Grant,Grant
2990,state_county,WV,2990,Greenbrier,Greenbrier,Greenbrier
2991,state_county,WV,2991,Hampshire,Hampshire,Hampshire
2992,state_county,WV,2992,Hancock,Hancock,Hancock
2993,state_county,WV,2993,Hardy,Hardy,Hardy
2994,state_county,WV,2994,Harrison,Harrison,Harrison
2995,state_county,WV,2995,Jackson,Jackson,Jackson
2996,state_county,WV,2996,Jefferson,Jefferson,Jefferson
2997,state_county,WV,2997,Kanawha,Kanawha,Kanawha
2998,state_county,WV,2998,Lewis,Lewis,Lewis
2999,state_county,WV,2999,Lincoln,Lincoln,Lincoln
3000,state_county,WV,3000,Logan,Logan,Logan
3001,state_county,WV,3001,Marion,Marion,Marion
3002,state_county,WV,3002,Marshall,Marshall,Marshall
3003,state_county,WV,3003,Mason,Mason,Mason
3004,state_county,WV,3004,McDowell,McDowell,McDowell
3005,state_county,WV,3005,Mercer,Mercer,Mercer
3006,state_county,WV,3006,Mineral,Mineral,Mineral
3007,state_county,WV,3007,Mingo,Mingo,Mingo
3008,state_county,WV,3008,Monongalia,Monongalia,Monongalia
3009,state_county,WV,3009,Monroe,Monroe,Monroe
3010,state_county,WV,3010,Morgan,Morgan,Morgan
3011,state_county,WV,3011,Nicholas,Nicholas,Nicholas
3012,state_county,WV,3012,Ohio,Ohio,Ohio
3013,state_county,WV,3013,Pendleton,Pendleton,Pendleton
3014,state_county,WV,3014,Pleasants,Pleasants,Pleasants
3015,state_county,WV,3015,Pocahontas,Pocahontas,Pocahontas
3016,state_county,WV,3016,Preston,Preston,Preston
3017,state_county,WV,3017,Putnam,Putnam,Putnam
3018,state_county,WV,3018,Raleigh,Raleigh,Raleigh
3019,state_county,WV,3019,Randolph,Randolph,Randolph
2898,state_county,VA,2898,New Kent,New Kent,New Kent
2899,state_county,VA,2899,Northampton,Northampton,Northampton
2900,state_county,VA,2900,Northumberland,Northumberland,Northumberland
2901,state_county,VA,2901,Nottoway,Nottoway,Nottoway
2902,state_county,VA,2902,Orange,Orange,Orange
2903,state_county,VA,2903,Page,Page,Page
2904,state_county,VA,2904,Patrick,Patrick,Patrick
2905,state_county,VA,2905,Pittsylvania,Pittsylvania,Pittsylvania
2906,state_county,VA,2906,Powhatan,Powhatan,Powhatan
2907,state_county,VA,2907,Prince Edward,Prince Edward,Prince Edward
2908,state_county,VA,2908,Prince George,Prince George,Prince George
2909,state_county,VA,2909,Prince William,Prince William,Prince William
2910,state_county,VA,2910,Pulaski,Pulaski,Pulaski
2911,state_county,VA,2911,Rappahannock,Rappahannock,Rappahannock
2912,state_county,VA,2912,Richmond,Richmond,Richmond
2913,state_county,VA,2913,Roanoke,Roanoke,Roanoke
2914,state_county,VA,2914,Rockbridge,Rockbridge,Rockbridge
2915,state_county,VA,2915,Rockingham,Rockingham,Rockingham
2916,state_county,VA,2916,Russell,Russell,Russell
2917,state_county,VA,2917,Shenandoah,Shenandoah,Shenandoah
2918,state_county,VA,2918,Smyth,Smyth,Smyth
2920,state_county,VA,2920,Southampton,Southampton,Southampton
2922,state_county,VA,2922,Spotsylvania,Spotsylvania,Spotsylvania
2924,state_county,VA,2924,Surry,Surry,Surry
2925,state_county,VA,2925,Sussex,Sussex,Sussex
2927,state_county,VA,2927,Tazewell,Tazewell,Tazewell
2928,state_county,VA,2928,Warren,Warren,Warren
2929,state_county,VA,2929,Washington,Washington,Washington
2931,state_county,VA,2931,Westmoreland,Westmoreland,Westmoreland
2932,state_county,VA,2932,Wise,Wise,Wise
2933,state_county,VA,2933,Wythe,Wythe,Wythe
2934,state_county,VA,2934,York,York,York
2935,state_county,WA,2935,Adams,Adams,Adams
2936,state_county,WA,2936,Asotin,Asotin,Asotin
2937,state_county,WA,2937,Benton,Benton,Benton
2938,state_county,WA,2938,Chelan,Chelan,Chelan
2939,state_county,WA,2939,Clallam,Clallam,Clallam
2940,state_county,WA,2940,Clark,Clark,Clark
2941,state_county,WA,2941,Columbia,Columbia,Columbia
2942,state_county,WA,2942,Cowlitz,Cowlitz,Cowlitz
2943,state_county,WA,2943,Douglas,Douglas,Douglas
2944,state_county,WA,2944,Ferry,Ferry,Ferry
